Ano;Número;Modalidade;Objeto;Estimado;Homologado;Edital;Acompanhar
2023;00011;Pregão - Eletrônico;A presente licitação tem como objeto a contratação de serviços de Vigilância Ostensiva armada e Monitoramento de Vídeo 24 horas por dia para a Sede do Tribunal Regional Eleitoral de Roraima e Cartórios Eleitorais, a serem executados com regime de dedicação exclusiva de mão de obra, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;R$ 3.308.178,36;R$ 2.845.030,86;https://pncp.gov.br/app/editais/00509018000113/2023/000191;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000112023"
2023;00012;Pregão - Eletrônico;O objeto da presente licitação é o registro de preços para eventual contração de serviços de  Agenciamento de Viagens, compreendendo os serviços de emissão, remarcação e cancelamento de passagens aéreas nacionais e internacionais e de emissão de seguro de assistência em viagem internacional, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;R$ 7.117.140,50;NA;https://pncp.gov.br/app/editais/00509018000113/2023/000622;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000122023"
2023;00013;Pregão - Eletrônico;A presente licitação tem como objeto a contratação de empresa especializada para prestação de serviços terceirizados de MOTORISTA, mediante cessão de mão de obra com dedicação exclusiva, conforme especificações e qualidades estabelecidas no Termo de Referência.;R$ 2.412.130,73;R$ 2.010.999,69;https://pncp.gov.br/app/editais/00509018000113/2023/000659;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000132023"
2023;00014;Pregão - Eletrônico;A presente licitação tem como objeto a contratação de serviços de Eletricista, a serem executados de forma contínua, com regime de dedicação exclusiva de mão de obra, conforme especificações e qualidades estabelecidas no Termo de Referência.;R$ 396.338,96;NA;https://pncp.gov.br/app/editais/00509018000113/2023/000680;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000142023"
2023;00015;Pregão - Eletrônico;"Aquisição de computadores Mini Desktop com monitor de vídeo 23"" e computadores MAC Mini, conforme quantitativos e condições estabelecidas no Termo de Referência.";R$ 15.195.005,85;R$ 14.281.635,00;https://pncp.gov.br/app/editais/00509018000113/2023/000772;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000152023"
2023;00016;Pregão - Eletrônico;Registro de Preços para futura e eventual aquisição de material de consumo de gêneros alimentícios (café, açúcar, chá e adoçante), com a finalidade de atender demandas da Sede do Tribunal Regional Eleitoral de Roraima e Cartórios Eleitorais.;R$ 75.826,60;R$ 63.018,00;https://pncp.gov.br/app/editais/00509018000113/2023/000802;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000162023"
2023;00017;Pregão - Eletrônico;Contratação de empresa para a prestação de serviços de locação de veículos automotor, tipo Pick-UP cabine dupla, tração 4x4 com quilometragem livre, para resolver a demanda de transporte de pessoas em serviços, materiais e equipamentos necessários as atividades operacionais do Tribunal Regional Eleitoral de Roraima em deslocamentos dentro do Estado de Roraima.;R$ 1.901.255,40;NA;https://pncp.gov.br/app/editais/00509018000113/2023/000801;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000172023"
2023;00018;Pregão - Eletrônico;O objeto da presente licitação é o registro de preço para eventual Contratação de empresa para fornecimento e instalação de  solução de infraestrutura de rede sem fio com tecnologia versão 6 (Wi-Fi 6), conforme condições, quantidades e exigências estabelecidas no termo de referência.;R$ 308.420,00;R$ 392.420,00;https://pncp.gov.br/app/editais/00509018000113/2023/000839;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000182023"
2023;00019;Pregão - Eletrônico;O objeto da presente licitação é a contratação, para serviço continuado, de empresa especializada em infraestrutura de rede com manutenção corretiva, instalações, desinstalações, remanejamentos de pontos de lógica, de acordo com as necessidades identificadas e em conformidade com características dos equipamentos da rede local e seus respectivos padrões, quantidades e exigências estabelecidas no Edital e seus anexos. ;R$ 166.701,18;R$ 161.816,00;https://pncp.gov.br/app/editais/00509018000113/2023/000913;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000192023"
2023;00020;Pregão - Eletrônico;O objeto da presente licitação é o registro de preços para eventual contração de serviços de  Agenciamento de Viagens, compreendendo os serviços de emissão, remarcação e cancelamento de passagens aéreas nacionais e internacionais e de emissão de seguro de assistência em viagem internacional, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos. ;R$ 7.117.140,50;R$ 4.920.600,00;https://pncp.gov.br/app/editais/00509018000113/2023/000904;"https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&amp;compra=07002805000202023"
